Code	NumLoc	part.dist	part.dist2	trimmed.part.dist	trimmed.part.dist2	trimmed.num	num.dupl.elems	num.dupl.when.trimmed	Version	Scenario	NumAlleles	Number	GenoError	gtyp.err.assumption
afACaadn	10	19	19	NA	NA	0	0	0	ColonyNewVersion	allpathalf	5	3	n	d.02m.02
afACaaeh	10	14	14	NA	NA	0	0	0	ColonyNewVersion	allpathalf	5	4	h	d.02m.02
afACaael	10	16	16	2	2	3	0	0	ColonyNewVersion	allpathalf	5	4	l	d.02m.02
afACaaen	10	16	16	4	4	6	0	0	ColonyNewVersion	allpathalf	5	4	n	d.02m.02
afACaafh	10	17	17	4	4	6	0	0	ColonyNewVersion	allpathalf	5	5	h	d.02m.02
afACaafl	10	20	20	6	6	9	0	0	ColonyNewVersion	allpathalf	5	5	l	d.02m.02
afACaafn	10	17	17	4	4	6	0	0	ColonyNewVersion	allpathalf	5	5	n	d.02m.02
afACaagh	10	16	16	4	4	6	0	0	ColonyNewVersion	allpathalf	5	6	h	d.02m.02
afACaagl	10	15	15	2	2	3	0	0	ColonyNewVersion	allpathalf	5	6	l	d.02m.02
afACaagn	10	14	14	NA	NA	0	0	0	ColonyNewVersion	allpathalf	5	6	n	d.02m.02
afACaahh	10	15	15	6	6	9	0	0	ColonyNewVersion	allpathalf	5	7	h	d.02m.02
afACaahl	10	19	19	4	4	6	0	0	ColonyNewVersion	allpathalf	5	7	l	d.02m.02
afACaahn	10	21	21	6	6	9	0	0	ColonyNewVersion	allpathalf	5	7	n	d.02m.02
afACaaih	10	14	14	2	2	3	0	0	ColonyNewVersion	allpathalf	5	8	h	d.02m.02
afACaail	10	17	17	4	4	6	0	0	ColonyNewVersion	allpathalf	5	8	l	d.02m.02
afACaain	10	15	15	4	4	6	0	0	ColonyNewVersion	allpathalf	5	8	n	d.02m.02
afACaajh	10	14	14	NA	NA	0	0	0	ColonyNewVersion	allpathalf	5	9	h	d.02m.02
afACaajl	10	15	15	2	2	3	0	0	ColonyNewVersion	allpathalf	5	9	l	d.02m.02
afACaajn	10	17	17	4	4	6	0	0	ColonyNewVersion	allpathalf	5	9	n	d.02m.02
afACaakh	10	15	15	NA	NA	0	0	0	ColonyNewVersion	allpathalf	5	10	h	d.02m.02
afACaakl	10	21	21	9	9	13	0	0	ColonyNewVersion	allpathalf	5	10	l	d.02m.02
afACaakn	10	16	16	4	4	6	0	0	ColonyNewVersion	allpathalf	5	10	n	d.02m.02
afACaalh	10	17	17	NA	NA	0	0	0	ColonyNewVersion	allpathalf	5	11	h	d.02m.02
afACaall	10	17	17	NA	NA	0	0	0	ColonyNewVersion	allpathalf	5	11	l	d.02m.02
afACaaln	10	16	16	2	2	3	0	0	ColonyNewVersion	allpathalf	5	11	n	d.02m.02
afACaamh	10	13	13	6	6	9	0	0	ColonyNewVersion	allpathalf	5	12	h	d.02m.02
afACaaml	10	17	17	6	6	9	0	0	ColonyNewVersion	allpathalf	5	12	l	d.02m.02
