Code	NumLoc	part.dist	part.dist2	trimmed.part.dist	trimmed.part.dist2	trimmed.num	num.dupl.elems	num.dupl.when.trimmed	Version	Scenario	NumAlleles	Number	GenoError	gtyp.err.assumption
afACaacl	10	32	32	15	15	22	0	0	ColonyNewVersionPairwise	allpathalf	5	2	l	d.02m.02
afACaacn	10	31	31	16	16	23	0	0	ColonyNewVersionPairwise	allpathalf	5	2	n	d.02m.02
afACaadh	10	33	33	23	23	33	0	0	ColonyNewVersionPairwise	allpathalf	5	3	h	d.02m.02
afACaadl	10	34	34	23	23	33	0	0	ColonyNewVersionPairwise	allpathalf	5	3	l	d.02m.02
afACaadn	10	35	35	23	23	32	0	0	ColonyNewVersionPairwise	allpathalf	5	3	n	d.02m.02
afACaaeh	10	35	35	25	25	35	0	0	ColonyNewVersionPairwise	allpathalf	5	4	h	d.02m.02
afACaael	10	40	40	26	26	37	0	0	ColonyNewVersionPairwise	allpathalf	5	4	l	d.02m.02
afACaaen	10	41	41	27	27	39	0	0	ColonyNewVersionPairwise	allpathalf	5	4	n	d.02m.02
afACaafh	10	32	32	17	17	24	0	0	ColonyNewVersionPairwise	allpathalf	5	5	h	d.02m.02
afACaafl	10	32	32	13	13	19	0	0	ColonyNewVersionPairwise	allpathalf	5	5	l	d.02m.02
afACaafn	10	34	34	17	17	25	0	0	ColonyNewVersionPairwise	allpathalf	5	5	n	d.02m.02
afACaagh	10	32	32	22	22	31	0	0	ColonyNewVersionPairwise	allpathalf	5	6	h	d.02m.02
afACaagl	10	32	32	15	15	21	0	0	ColonyNewVersionPairwise	allpathalf	5	6	l	d.02m.02
afACaagn	10	34	34	25	25	34	0	0	ColonyNewVersionPairwise	allpathalf	5	6	n	d.02m.02
afACaahh	10	32	32	18	18	26	0	0	ColonyNewVersionPairwise	allpathalf	5	7	h	d.02m.02
afACaahl	10	35	35	18	18	26	0	0	ColonyNewVersionPairwise	allpathalf	5	7	l	d.02m.02
afACaahn	10	36	36	19	19	27	0	0	ColonyNewVersionPairwise	allpathalf	5	7	n	d.02m.02
afACaaih	10	34	34	20	20	28	0	0	ColonyNewVersionPairwise	allpathalf	5	8	h	d.02m.02
afACaail	10	33	33	23	23	32	0	0	ColonyNewVersionPairwise	allpathalf	5	8	l	d.02m.02
afACaain	10	35	35	25	25	35	0	0	ColonyNewVersionPairwise	allpathalf	5	8	n	d.02m.02
afACaajh	10	30	30	17	17	24	0	0	ColonyNewVersionPairwise	allpathalf	5	9	h	d.02m.02
afACaajl	10	32	32	18	18	27	0	0	ColonyNewVersionPairwise	allpathalf	5	9	l	d.02m.02
afACaajn	10	33	33	18	18	26	0	0	ColonyNewVersionPairwise	allpathalf	5	9	n	d.02m.02
afACaakh	10	33	33	21	21	30	0	0	ColonyNewVersionPairwise	allpathalf	5	10	h	d.02m.02
afACaakl	10	34	34	21	21	30	0	0	ColonyNewVersionPairwise	allpathalf	5	10	l	d.02m.02
afACaakn	10	34	34	23	23	33	0	0	ColonyNewVersionPairwise	allpathalf	5	10	n	d.02m.02
afACaalh	10	28	28	21	21	30	0	0	ColonyNewVersionPairwise	allpathalf	5	11	h	d.02m.02
afACaall	10	36	36	20	20	28	0	0	ColonyNewVersionPairwise	allpathalf	5	11	l	d.02m.02
afACaaln	10	35	35	19	19	26	0	0	ColonyNewVersionPairwise	allpathalf	5	11	n	d.02m.02
afACaamh	10	28	28	16	16	23	0	0	ColonyNewVersionPairwise	allpathalf	5	12	h	d.02m.02
afACaaml	10	33	33	20	20	28	0	0	ColonyNewVersionPairwise	allpathalf	5	12	l	d.02m.02
afACaamn	10	32	32	17	17	25	0	0	ColonyNewVersionPairwise	allpathalf	5	12	n	d.02m.02
afACaanh	10	32	32	16	16	23	0	0	ColonyNewVersionPairwise	allpathalf	5	13	h	d.02m.02
afACaanl	10	31	31	16	16	22	0	0	ColonyNewVersionPairwise	allpathalf	5	13	l	d.02m.02
afACaann	10	31	31	18	18	25	0	0	ColonyNewVersionPairwise	allpathalf	5	13	n	d.02m.02
afACaaoh	10	39	39	31	31	44	0	0	ColonyNewVersionPairwise	allpathalf	5	14	h	d.02m.02
