Scenario	NumAlleles	Number	GenoError	Code	NumLoc	part.dist	part.dist2	trimmed.part.dist	trimmed.part.dist2	trimmed.num	num.dupl.elems	num.dupl.when.trimmed	Seconds
allhalf	5	26	n	afABaban	10	52	52	51	52	73	1	1	266
allhalf	5	27	h	afABabbh	10	53	53	52	53	73	3	3	265
allhalf	5	27	l	afABabbl	10	12	75	12	75	75	75	75	268
allhalf	5	27	n	afABabbn	10	12	75	12	75	75	75	75	273
allhalf	5	28	h	afABabch	10	4	75	4	75	75	75	75	276
allhalf	5	28	l	afABabcl	10	6	75	6	75	75	75	75	280
allhalf	5	28	n	afABabcn	10	9	75	9	75	75	75	75	285
allhalf	5	29	h	afABabdh	10	4	75	4	75	75	75	75	287
allhalf	5	29	l	afABabdl	10	6	75	6	75	75	75	75	280
allhalf	5	29	n	afABabdn	10	9	75	9	75	75	75	75	283
allhalf	5	30	h	afABabeh	10	0	75	0	75	75	75	75	284
allhalf	5	30	l	afABabel	10	5	75	5	75	75	75	75	284
allhalf	5	30	n	afABaben	10	8	75	8	75	75	75	75	289
allhalf	5	31	h	afABabfh	10	9	75	9	75	75	75	75	291
allhalf	5	31	l	afABabfl	10	11	75	11	75	75	75	75	297
allhalf	5	31	n	afABabfn	10	12	75	12	75	75	75	75	299
allhalf	5	32	h	afABabgh	10	6	75	6	75	75	75	75	300
allhalf	5	32	l	afABabgl	10	0	75	0	75	75	75	75	301
allhalf	5	32	n	afABabgn	10	5	75	5	75	75	75	75	301
allhalf	5	33	h	afABabhh	10	6	75	6	75	75	75	75	301
allhalf	5	33	l	afABabhl	10	8	75	8	75	75	75	75	305
allhalf	5	33	n	afABabhn	10	0	75	0	75	75	75	75	308
allhalf	5	34	h	afABabih	10	4	75	4	75	75	75	75	309
allhalf	5	34	l	afABabil	10	7	75	7	75	75	75	75	309
allhalf	5	34	n	afABabin	10	9	75	9	75	75	75	75	312
allhalf	5	35	h	afABabjh	10	3	75	3	75	75	75	75	313
allhalf	5	35	l	afABabjl	10	7	75	7	75	75	75	75	313
allhalf	5	35	n	afABabjn	10	53	53	53	53	75	1	1	317
allhalf	5	36	h	afABabkh	10	52	52	51	52	74	1	1	318
allhalf	5	36	l	afABabkl	10	53	53	53	53	75	1	1	322
allhalf	5	36	n	afABabkn	10	53	53	52	53	74	2	2	325
allhalf	5	37	h	afABablh	10	0	75	0	75	75	75	75	335
allhalf	5	37	l	afABabll	10	6	75	6	75	75	75	75	335
allhalf	5	37	n	afABabln	10	6	75	6	75	75	75	75	336
allhalf	5	38	h	afABabmh	10	6	75	6	75	75	75	75	337
allhalf	5	38	l	afABabml	10	8	75	8	75	75	75	75	339
allhalf	5	38	n	afABabmn	10	0	75	0	75	75	75	75	343
allhalf	5	39	h	afABabnh	10	5	75	5	75	75	75	75	341
allhalf	5	39	l	afABabnl	10	8	75	8	75	75	75	75	343
allhalf	5	39	n	afABabnn	10	0	75	0	75	75	75	75	345
allhalf	5	40	h	afABaboh	10	3	75	3	75	75	75	75	343
allhalf	5	40	l	afABabol	10	6	75	6	75	75	75	75	344
allhalf	5	40	n	afABabon	10	6	75	6	75	75	75	75	345
allhalf	5	41	h	afABabph	10	0	75	0	75	75	75	75	345
allhalf	5	41	l	afABabpl	10	5	75	5	75	75	75	75	344
allhalf	5	41	n	afABabpn	10	6	75	6	75	75	75	75	346
allhalf	5	42	h	afABabqh	10	4	75	4	75	75	75	75	348
allhalf	5	42	l	afABabql	10	0	75	0	75	75	75	75	350
allhalf	5	42	n	afABabqn	10	7	75	7	75	75	75	75	349
allhalf	5	43	h	afABabrh	10	4	75	4	75	75	75	75	349
allhalf	5	43	l	afABabrl	10	8	75	8	75	75	75	75	351
allhalf	5	43	n	afABabrn	10	0	75	0	75	75	75	75	354
allhalf	5	44	h	afABabsh	10	5	75	5	75	75	75	75	354
allhalf	5	44	l	afABabsl	10	8	75	8	75	75	75	75	355
allhalf	5	44	n	afABabsn	10	9	75	9	75	75	75	75	360
allhalf	5	45	h	afABabth	10	5	75	5	75	75	75	75	362
allhalf	5	45	l	afABabtl	10	11	75	11	75	75	75	75	364
allhalf	5	45	n	afABabtn	10	11	75	11	75	75	75	75	367
allhalf	5	46	h	afABabuh	10	0	75	0	75	75	75	75	368
allhalf	5	46	l	afABabul	10	6	75	6	75	75	75	75	368
allhalf	5	46	n	afABabun	10	7	75	7	75	75	75	75	369
allhalf	5	47	h	afABabvh	10	0	75	0	75	75	75	75	372
allhalf	5	47	l	afABabvl	10	7	75	7	75	75	75	75	374
allhalf	5	47	n	afABabvn	10	0	75	0	75	75	75	75	375
allhalf	5	48	h	afABabwh	10	6	75	6	75	75	75	75	373
allhalf	5	48	l	afABabwl	10	8	75	8	75	75	75	75	376
allhalf	5	48	n	afABabwn	10	53	53	53	53	75	0	0	389
allhalf	5	49	h	afABabxh	10	51	51	51	51	75	1	1	390
allhalf	5	49	l	afABabxl	10	53	53	53	53	75	0	0	390
allhalf	5	49	n	afABabxn	10	53	53	53	53	75	1	1	393
allhalf	5	50	h	afABabyh	10	53	53	52	52	73	0	0	394
allhalf	5	50	l	afABabyl	10	53	53	53	53	75	1	1	396
allhalf	5	50	n	afABabyn	10	54	54	54	54	75	0	0	399
allpathalf	5	1	h	afACaabh	10	2	75	2	74	74	75	74	84
allpathalf	5	1	l	afACaabl	10	3	75	3	75	75	75	75	81
allpathalf	5	1	n	afACaabn	10	4	75	4	75	75	75	75	85
allpathalf	5	2	h	afACaach	10	3	75	3	75	75	75	75	78
allpathalf	5	2	l	afACaacl	10	4	75	4	74	74	75	74	84
allpathalf	5	2	n	afACaacn	10	52	52	52	52	75	1	1	78
allpathalf	5	3	h	afACaadh	10	3	75	3	75	75	75	75	83
allpathalf	5	3	l	afACaadl	10	8	75	8	75	75	75	75	86
allpathalf	5	3	n	afACaadn	10	6	75	6	75	75	75	75	85
allpathalf	5	4	h	afACaaeh	10	6	75	6	75	75	75	75	82
allpathalf	5	4	l	afACaael	10	9	75	9	75	75	75	75	83
allpathalf	5	4	n	afACaaen	10	12	75	12	75	75	75	75	83
allpathalf	5	5	h	afACaafh	10	4	75	4	74	74	75	74	82
allpathalf	5	5	l	afACaafl	10	6	75	6	75	75	75	75	85
allpathalf	5	5	n	afACaafn	10	6	75	6	75	75	75	75	82
allpathalf	5	6	h	afACaagh	10	6	75	6	75	75	75	75	87
allpathalf	5	6	l	afACaagl	10	7	75	7	75	75	75	75	84
allpathalf	5	6	n	afACaagn	10	10	75	10	75	75	75	75	86
allpathalf	5	7	h	afACaahh	10	6	75	6	75	75	75	75	83
allpathalf	5	7	l	afACaahl	10	9	75	9	75	75	75	75	78
allpathalf	5	7	n	afACaahn	10	9	75	9	75	75	75	75	82
allpathalf	5	8	h	afACaaih	10	3	75	3	75	75	75	75	81
allpathalf	5	8	l	afACaail	10	4	75	4	75	75	75	75	85
allpathalf	5	8	n	afACaain	10	6	75	6	75	75	75	75	81
allpathalf	5	9	h	afACaajh	10	6	75	6	75	75	75	75	86
allpathalf	5	9	l	afACaajl	10	7	75	7	75	75	75	75	83
allpathalf	5	9	n	afACaajn	10	9	75	9	75	75	75	75	80
allpathalf	5	10	h	afACaakh	10	1	75	1	74	74	75	74	84
allpathalf	5	10	l	afACaakl	10	7	75	7	73	73	75	73	80
allpathalf	5	10	n	afACaakn	10	6	75	6	75	75	75	75	82
allpathalf	5	11	h	afACaalh	10	51	51	50	50	73	0	0	79
allpathalf	5	11	l	afACaall	10	6	75	6	75	75	75	75	87
allpathalf	5	11	n	afACaaln	10	6	75	6	75	75	75	75	81
allpathalf	5	12	h	afACaamh	10	3	75	3	75	75	75	75	85
allpathalf	5	12	l	afACaaml	10	5	75	5	75	75	75	75	80
allpathalf	5	12	n	afACaamn	10	6	75	6	75	75	75	75	85
allpathalf	5	13	h	afACaanh	10	51	51	50	51	73	1	1	78
allpathalf	5	13	l	afACaanl	10	3	75	3	75	75	75	75	84
allpathalf	5	13	n	afACaann	10	7	75	7	75	75	75	75	79
allpathalf	5	14	h	afACaaoh	10	7	75	7	74	74	75	74	84
allpathalf	5	14	l	afACaaol	10	9	75	9	75	75	75	75	81
allpathalf	5	14	n	afACaaon	10	9	75	9	75	75	75	75	83
allpathalf	5	15	h	afACaaph	10	4	75	4	75	75	75	75	82
allpathalf	5	15	l	afACaapl	10	4	75	4	75	75	75	75	87
allpathalf	5	15	n	afACaapn	10	6	75	6	75	75	75	75	82
allpathalf	5	16	h	afACaaqh	10	51	51	51	51	75	2	2	77
allpathalf	5	16	l	afACaaql	10	9	75	9	75	75	75	75	84
allpathalf	5	16	n	afACaaqn	10	9	75	9	75	75	75	75	82
allpathalf	5	17	h	afACaarh	10	4	75	4	74	74	75	74	84
allpathalf	5	17	l	afACaarl	10	7	75	7	75	75	75	75	81
allpathalf	5	17	n	afACaarn	10	6	75	6	74	74	75	74	85
allpathalf	5	18	h	afACaash	10	51	51	50	50	73	0	0	77
allpathalf	5	18	l	afACaasl	10	6	75	6	75	75	75	75	83
allpathalf	5	18	n	afACaasn	10	6	75	6	75	75	75	75	79
allpathalf	5	19	h	afACaath	10	3	75	3	74	74	75	74	83
allpathalf	5	19	l	afACaatl	10	6	75	6	75	75	75	75	79
allpathalf	5	19	n	afACaatn	10	9	75	9	75	75	75	75	83
allpathalf	5	20	h	afACaauh	10	3	75	3	75	75	75	75	81
allpathalf	5	20	l	afACaaul	10	3	75	3	75	75	75	75	86
allpathalf	5	20	n	afACaaun	10	6	75	6	75	75	75	75	82
allpathalf	5	21	h	afACaavh	10	3	75	3	75	75	75	75	87
allpathalf	5	21	l	afACaavl	10	6	75	6	75	75	75	75	84
allpathalf	5	21	n	afACaavn	10	6	75	6	74	74	75	74	80
allpathalf	5	22	h	afACaawh	10	4	75	4	73	73	75	73	85
allpathalf	5	22	l	afACaawl	10	7	75	7	73	73	75	73	81
allpathalf	5	22	n	afACaawn	10	6	75	6	75	75	75	75	85
allpathalf	5	23	h	afACaaxh	10	3	75	3	73	73	75	73	80
allpathalf	5	23	l	afACaaxl	10	3	75	3	75	75	75	75	85
allpathalf	5	23	n	afACaaxn	10	6	75	6	75	75	75	75	79
allpathalf	5	24	h	afACaayh	10	2	75	2	75	75	75	75	82
