"","Code","NumLoc","Version","part.dist","part.dist2","trimmed.part.dist","trimmed.part.dist2","trimmed.num","num.dupl.elems","num.dupl.when.trimmed","Scenario","NumAlleles","Number","GenoError","gtyp.err.assumption","Minutes"
"41","afABaadn",5,"ColonyNewVersionPairwise",45,45,36,36,49,0,0,"allhalf",5,3,"n","d.02m.02",0.433333333333333
"42","afABaadn",10,"ColonyNewVersionPairwise",36,36,16,16,23,0,0,"allhalf",5,3,"n","d.02m.02",0.55
"43","afABaadn",15,"ColonyNewVersionPairwise",28,28,14,14,21,0,0,"allhalf",5,3,"n","d.02m.02",0.5
"44","afABaadn",20,"ColonyNewVersionPairwise",27,27,9,9,13,0,0,"allhalf",5,3,"n","d.02m.02",0.533333333333333
"45","afABaadn",25,"ColonyNewVersionPairwise",25,25,6,6,9,0,0,"allhalf",5,3,"n","d.02m.02",0.55
"46","afABaaeh",5,"ColonyNewVersionPairwise",51,51,47,47,63,0,0,"allhalf",5,4,"h","d.02m.02",0.466666666666667
"47","afABaaeh",10,"ColonyNewVersionPairwise",33,33,18,18,25,0,0,"allhalf",5,4,"h","d.02m.02",0.466666666666667
"48","afABaaeh",15,"ColonyNewVersionPairwise",23,23,6,6,9,0,0,"allhalf",5,4,"h","d.02m.02",0.583333333333333
"49","afABaaeh",20,"ColonyNewVersionPairwise",21,21,8,8,12,0,0,"allhalf",5,4,"h","d.02m.02",0.583333333333333
"50","afABaaeh",25,"ColonyNewVersionPairwise",21,21,10,10,15,0,0,"allhalf",5,4,"h","d.02m.02",0.633333333333333
"51","afABaael",5,"ColonyNewVersionPairwise",48,48,42,42,55,0,0,"allhalf",5,4,"l","d.02m.02",0.416666666666667
"52","afABaael",10,"ColonyNewVersionPairwise",35,35,21,21,29,0,0,"allhalf",5,4,"l","d.02m.02",0.533333333333333
"53","afABaael",15,"ColonyNewVersionPairwise",28,28,9,9,12,0,0,"allhalf",5,4,"l","d.02m.02",0.516666666666667
"54","afABaael",20,"ColonyNewVersionPairwise",25,25,12,12,17,0,0,"allhalf",5,4,"l","d.02m.02",0.583333333333333
"55","afABaael",25,"ColonyNewVersionPairwise",23,23,10,10,14,0,0,"allhalf",5,4,"l","d.02m.02",0.533333333333333
"56","afABaaen",5,"ColonyNewVersionPairwise",47,47,43,43,56,0,0,"allhalf",5,4,"n","d.02m.02",0.433333333333333
"57","afABaaen",10,"ColonyNewVersionPairwise",37,37,20,20,27,0,0,"allhalf",5,4,"n","d.02m.02",0.483333333333333
"58","afABaaen",15,"ColonyNewVersionPairwise",32,32,12,12,16,0,0,"allhalf",5,4,"n","d.02m.02",0.516666666666667
"59","afABaaen",20,"ColonyNewVersionPairwise",26,26,12,12,17,0,0,"allhalf",5,4,"n","d.02m.02",0.616666666666667
"60","afABaaen",25,"ColonyNewVersionPairwise",25,25,9,9,13,0,0,"allhalf",5,4,"n","d.02m.02",0.5
"61","afABaafh",5,"ColonyNewVersionPairwise",44,44,36,36,48,0,0,"allhalf",5,5,"h","d.02m.02",0.466666666666667
"62","afABaafh",10,"ColonyNewVersionPairwise",30,30,21,21,30,0,0,"allhalf",5,5,"h","d.02m.02",0.583333333333333
"63","afABaafh",15,"ColonyNewVersionPairwise",25,25,9,9,13,0,0,"allhalf",5,5,"h","d.02m.02",0.583333333333333
"64","afABaafh",20,"ColonyNewVersionPairwise",24,24,2,2,3,0,0,"allhalf",5,5,"h","d.02m.02",0.583333333333333
"65","afABaafh",25,"ColonyNewVersionPairwise",21,21,4,4,6,0,0,"allhalf",5,5,"h","d.02m.02",0.616666666666667
"66","afABaafl",5,"ColonyNewVersionPairwise",45,45,36,36,46,0,0,"allhalf",5,5,"l","d.02m.02",0.5
"67","afABaafl",10,"ColonyNewVersionPairwise",36,36,20,20,29,0,0,"allhalf",5,5,"l","d.02m.02",0.533333333333333
"68","afABaafl",15,"ColonyNewVersionPairwise",26,26,10,10,15,0,0,"allhalf",5,5,"l","d.02m.02",0.516666666666667
"69","afABaafl",20,"ColonyNewVersionPairwise",24,24,10,10,15,0,0,"allhalf",5,5,"l","d.02m.02",0.6
"70","afABaafl",25,"ColonyNewVersionPairwise",20,20,NA,NA,0,0,0,"allhalf",5,5,"l","d.02m.02",0.6
"71","afABaafn",5,"ColonyNewVersionPairwise",45,45,37,37,49,0,0,"allhalf",5,5,"n","d.02m.02",0.516666666666667
"72","afABaafn",10,"ColonyNewVersionPairwise",33,33,17,17,24,0,0,"allhalf",5,5,"n","d.02m.02",0.483333333333333
"73","afABaafn",15,"ColonyNewVersionPairwise",27,27,13,13,19,0,0,"allhalf",5,5,"n","d.02m.02",0.55
"74","afABaafn",20,"ColonyNewVersionPairwise",25,25,11,11,16,0,0,"allhalf",5,5,"n","d.02m.02",0.616666666666667
"75","afABaafn",25,"ColonyNewVersionPairwise",21,21,2,2,3,0,0,"allhalf",5,5,"n","d.02m.02",0.633333333333333
"76","afABaagh",5,"ColonyNewVersionPairwise",48,48,43,43,56,0,0,"allhalf",5,6,"h","d.02m.02",0.466666666666667
"77","afABaagh",10,"ColonyNewVersionPairwise",37,37,24,24,33,0,0,"allhalf",5,6,"h","d.02m.02",0.516666666666667
"78","afABaagh",15,"ColonyNewVersionPairwise",27,27,12,12,17,0,0,"allhalf",5,6,"h","d.02m.02",0.65
"79","afABaagh",20,"ColonyNewVersionPairwise",21,21,4,4,6,0,0,"allhalf",5,6,"h","d.02m.02",0.666666666666667
"80","afABaagh",25,"ColonyNewVersionPairwise",14,14,2,2,3,0,0,"allhalf",5,6,"h","d.02m.02",0.616666666666667
"81","afABaagl",5,"ColonyNewVersionPairwise",50,50,44,44,56,0,0,"allhalf",5,6,"l","d.02m.02",0.45
"82","afABaagl",10,"ColonyNewVersionPairwise",35,35,26,26,36,0,0,"allhalf",5,6,"l","d.02m.02",0.5
"83","afABaagl",15,"ColonyNewVersionPairwise",29,29,10,10,15,0,0,"allhalf",5,6,"l","d.02m.02",0.55
"84","afABaagl",20,"ColonyNewVersionPairwise",26,26,4,4,6,0,0,"allhalf",5,6,"l","d.02m.02",0.616666666666667
"85","afABaagl",25,"ColonyNewVersionPairwise",24,24,10,10,15,0,0,"allhalf",5,6,"l","d.02m.02",0.566666666666667
"86","afABaagn",5,"ColonyNewVersionPairwise",46,46,40,40,51,0,0,"allhalf",5,6,"n","d.02m.02",0.5
"87","afABaagn",10,"ColonyNewVersionPairwise",37,37,26,26,37,0,0,"allhalf",5,6,"n","d.02m.02",0.533333333333333
"88","afABaagn",15,"ColonyNewVersionPairwise",29,29,10,10,15,0,0,"allhalf",5,6,"n","d.02m.02",0.566666666666667
"89","afABaagn",20,"ColonyNewVersionPairwise",29,29,7,7,10,0,0,"allhalf",5,6,"n","d.02m.02",0.566666666666667
"90","afABaagn",25,"ColonyNewVersionPairwise",21,21,6,6,9,0,0,"allhalf",5,6,"n","d.02m.02",0.55
"91","afABaahh",5,"ColonyNewVersionPairwise",44,44,37,37,49,0,0,"allhalf",5,7,"h","d.02m.02",0.583333333333333
"92","afABaahh",10,"ColonyNewVersionPairwise",35,35,22,22,32,0,0,"allhalf",5,7,"h","d.02m.02",0.516666666666667
"93","afABaahh",15,"ColonyNewVersionPairwise",25,25,10,10,15,0,0,"allhalf",5,7,"h","d.02m.02",0.5
"94","afABaahh",20,"ColonyNewVersionPairwise",25,25,6,6,9,0,0,"allhalf",5,7,"h","d.02m.02",0.566666666666667
"95","afABaahh",25,"ColonyNewVersionPairwise",20,20,8,8,12,0,0,"allhalf",5,7,"h","d.02m.02",0.6
