"","Code","NumLoc","Version","part.dist","part.dist2","trimmed.part.dist","trimmed.part.dist2","trimmed.num","num.dupl.elems","num.dupl.when.trimmed","Scenario","NumAlleles","Number","GenoError","gtyp.err.assumption","Minutes"
"43","afABaadn",15,"ColonyNewVersion",9,9,2,2,3,0,0,"allhalf",5,3,"n","d.02m.02",3.61666666666667
"44","afABaadn",20,"ColonyNewVersion",11,11,NA,NA,0,0,0,"allhalf",5,3,"n","d.02m.02",4.65
"45","afABaadn",25,"ColonyNewVersion",4,4,NA,NA,0,0,0,"allhalf",5,3,"n","d.02m.02",4.86666666666667
"46","afABaaeh",5,"ColonyNewVersion",37,37,26,26,38,0,0,"allhalf",5,4,"h","d.02m.02",2.31666666666667
"47","afABaaeh",10,"ColonyNewVersion",21,21,8,8,12,0,0,"allhalf",5,4,"h","d.02m.02",3.35
"48","afABaaeh",15,"ColonyNewVersion",6,6,NA,NA,0,0,0,"allhalf",5,4,"h","d.02m.02",3.88333333333333
"49","afABaaeh",20,"ColonyNewVersion",4,4,NA,NA,0,0,0,"allhalf",5,4,"h","d.02m.02",5.31666666666667
"50","afABaaeh",25,"ColonyNewVersion",2,2,NA,NA,0,0,0,"allhalf",5,4,"h","d.02m.02",5.75
"51","afABaael",5,"ColonyNewVersion",32,32,16,16,24,0,0,"allhalf",5,4,"l","d.02m.02",2.56666666666667
"52","afABaael",10,"ColonyNewVersion",17,17,NA,NA,0,0,0,"allhalf",5,4,"l","d.02m.02",3.95
"53","afABaael",15,"ColonyNewVersion",8,8,NA,NA,0,0,0,"allhalf",5,4,"l","d.02m.02",3.85
"54","afABaael",20,"ColonyNewVersion",4,4,NA,NA,0,0,0,"allhalf",5,4,"l","d.02m.02",4.6
"55","afABaael",25,"ColonyNewVersion",0,0,NA,NA,0,0,0,"allhalf",5,4,"l","d.02m.02",5.55
"56","afABaaen",5,"ColonyNewVersion",34,34,19,19,28,0,0,"allhalf",5,4,"n","d.02m.02",2.06666666666667
"57","afABaaen",10,"ColonyNewVersion",15,15,NA,NA,0,0,0,"allhalf",5,4,"n","d.02m.02",3.08333333333333
"58","afABaaen",15,"ColonyNewVersion",9,9,NA,NA,0,0,0,"allhalf",5,4,"n","d.02m.02",3.68333333333333
"59","afABaaen",20,"ColonyNewVersion",2,2,NA,NA,0,0,0,"allhalf",5,4,"n","d.02m.02",4.73333333333333
"60","afABaaen",25,"ColonyNewVersion",2,2,NA,NA,0,0,0,"allhalf",5,4,"n","d.02m.02",6.05
"61","afABaafh",5,"ColonyNewVersion",28,28,11,11,15,0,0,"allhalf",5,5,"h","d.02m.02",2.58333333333333
"62","afABaafh",10,"ColonyNewVersion",13,13,NA,NA,0,0,0,"allhalf",5,5,"h","d.02m.02",3.1
"63","afABaafh",15,"ColonyNewVersion",6,6,NA,NA,0,0,0,"allhalf",5,5,"h","d.02m.02",4.8
"64","afABaafh",20,"ColonyNewVersion",8,8,NA,NA,0,0,0,"allhalf",5,5,"h","d.02m.02",4.93333333333333
"65","afABaafh",25,"ColonyNewVersion",6,6,NA,NA,0,0,0,"allhalf",5,5,"h","d.02m.02",6.23333333333333
"66","afABaafl",5,"ColonyNewVersion",29,29,12,12,17,0,0,"allhalf",5,5,"l","d.02m.02",2.15
"67","afABaafl",10,"ColonyNewVersion",13,13,2,2,3,0,0,"allhalf",5,5,"l","d.02m.02",3.38333333333333
"68","afABaafl",15,"ColonyNewVersion",7,7,NA,NA,0,0,0,"allhalf",5,5,"l","d.02m.02",3.38333333333333
"69","afABaafl",20,"ColonyNewVersion",5,5,NA,NA,0,0,0,"allhalf",5,5,"l","d.02m.02",4.63333333333333
"70","afABaafl",25,"ColonyNewVersion",3,3,NA,NA,0,0,0,"allhalf",5,5,"l","d.02m.02",4.75
"71","afABaafn",5,"ColonyNewVersion",26,26,14,14,21,0,0,"allhalf",5,5,"n","d.02m.02",2.65
"72","afABaafn",10,"ColonyNewVersion",15,15,2,2,3,0,0,"allhalf",5,5,"n","d.02m.02",3.1
"73","afABaafn",15,"ColonyNewVersion",7,7,NA,NA,0,0,0,"allhalf",5,5,"n","d.02m.02",3.3
"74","afABaafn",20,"ColonyNewVersion",5,5,NA,NA,0,0,0,"allhalf",5,5,"n","d.02m.02",5.11666666666667
