Scenario	NumAlleles	Number	GenoError	Code	NumLoc	gtyp.err.assumption	part.dist	part.dist2	trimmed.part.dist	trimmed.part.dist2	trimmed.num	num.dupl.elems	num.dupl.when.trimmed	Minutes
onelarge_wh	5	1	h	afAGaabh	5	d0m0	48	48	42	42	58	0	0	3.56667
onelarge_wh	5	1	l	afAGaabl	5	d0m0	41	41	33	33	47	0	0	4.38333
onelarge_wh	5	1	n	afAGaabn	5	d0m0	36	36	29	29	50	0	0	4.01667
onelarge_wh	5	2	h	afAGaach	5	d0m0	50	50	45	45	60	0	0	4.18333
onelarge_wh	5	2	l	afAGaacl	5	d0m0	46	46	42	42	62	0	0	3.41667
onelarge_wh	5	2	n	afAGaacn	5	d0m0	45	45	43	43	63	0	0	3.46667
onelarge_wh	5	3	h	afAGaadh	5	d0m0	44	44	40	40	62	0	0	3.56667
onelarge_wh	5	3	l	afAGaadl	5	d0m0	44	44	38	38	56	0	0	4.38333
onelarge_wh	5	3	n	afAGaadn	5	d0m0	43	43	38	38	58	0	0	4.56667
onelarge_wh	5	4	h	afAGaaeh	5	d0m0	42	42	35	35	51	0	0	4.70000
onelarge_wh	5	4	l	afAGaael	5	d0m0	43	43	35	35	54	0	0	3.83333
onelarge_wh	5	4	n	afAGaaen	5	d0m0	38	38	32	32	57	0	0	3.70000
onelarge_wh	5	5	h	afAGaafh	5	d0m0	40	40	34	34	54	0	0	2.91667
onelarge_wh	5	5	l	afAGaafl	5	d0m0	38	38	34	34	59	0	0	3.96667
onelarge_wh	5	5	n	afAGaafn	5	d0m0	41	41	34	34	57	0	0	4.68333
sfs_noh	5	1	h	afAHaabh	5	d0m0	32	32	29	29	57	0	0	3.41667
sfs_noh	5	1	l	afAHaabl	5	d0m0	28	28	25	25	57	0	0	2.96667
sfs_noh	5	1	n	afAHaabn	5	d0m0	27	27	25	25	62	0	0	2.65000
sfs_noh	5	2	h	afAHaach	5	d0m0	26	26	22	22	58	0	0	3.36667
sfs_noh	5	2	l	afAHaacl	5	d0m0	27	27	25	25	63	0	0	3.76667
sfs_noh	5	2	n	afAHaacn	5	d0m0	26	26	23	23	56	0	0	4.00000
sfs_noh	5	3	h	afAHaadh	5	d0m0	26	26	22	22	57	0	0	3.85000
sfs_noh	5	3	l	afAHaadl	5	d0m0	20	20	19	19	61	0	0	2.95000
sfs_noh	5	3	n	afAHaadn	5	d0m0	20	20	17	17	58	0	0	2.91667
sfs_noh	5	4	h	afAHaaeh	5	d0m0	30	30	26	26	58	0	0	3.15000
sfs_noh	5	4	l	afAHaael	5	d0m0	21	21	16	16	52	0	0	3.38333
sfs_noh	5	4	n	afAHaaen	5	d0m0	21	21	17	17	52	0	0	4.20000
sfs_noh	5	5	h	afAHaafh	5	d0m0	23	23	17	17	51	0	0	2.90000
sfs_noh	5	5	l	afAHaafl	5	d0m0	22	22	21	21	61	0	0	3.30000
sfs_noh	5	5	n	afAHaafn	5	d0m0	23	23	20	20	56	0	0	3.00000
sfs_wh	5	1	h	afAIaabh	5	d0m0	25	25	18	18	49	0	0	2.93333
sfs_wh	5	1	l	afAIaabl	5	d0m0	26	26	22	22	55	0	0	4.41667
sfs_wh	5	1	n	afAIaabn	5	d0m0	30	30	27	27	56	0	0	3.51667
sfs_wh	5	2	h	afAIaach	5	d0m0	30	30	25	25	55	0	0	3.20000
sfs_wh	5	2	l	afAIaacl	5	d0m0	27	27	23	23	58	0	0	3.70000
sfs_wh	5	2	n	afAIaacn	5	d0m0	27	27	20	20	51	0	0	4.20000
sfs_wh	5	3	h	afAIaadh	5	d0m0	26	26	22	22	54	0	0	3.45000
sfs_wh	5	3	l	afAIaadl	5	d0m0	23	23	21	21	57	0	0	3.76667
sfs_wh	5	3	n	afAIaadn	5	d0m0	23	23	21	21	55	0	0	4.28333
sfs_wh	5	4	h	afAIaaeh	5	d0m0	26	26	20	20	52	0	0	3.41667
sfs_wh	5	4	l	afAIaael	5	d0m0	22	22	19	19	56	0	0	3.13333
sfs_wh	5	4	n	afAIaaen	5	d0m0	23	23	19	19	56	0	0	3.68333
sfs_wh	5	5	h	afAIaafh	5	d0m0	26	26	21	21	56	0	0	3.50000
sfs_wh	5	5	l	afAIaafl	5	d0m0	25	25	22	22	49	0	0	4.08333
sfs_wh	5	5	n	afAIaafn	5	d0m0	16	16	13	13	47	0	0	2.70000
slfsg_noh	5	1	h	afAJaabh	5	d0m0	38	38	37	37	63	0	0	3.85000
slfsg_noh	5	1	l	afAJaabl	5	d0m0	21	21	20	20	64	0	0	4.01667
slfsg_noh	5	1	n	afAJaabn	5	d0m0	18	18	16	16	59	0	0	3.73333
